S.Score	G2M.Score	Phase
C196	-0.0890814178794649	-0.197718303547722	G1
C197	-0.106053953252377	-0.205254499650866	G1
C198	0.0790245441109915	0.219582568894589	G2M
C199	0.0406844824180277	0.187806313485507	G2M
C200	-0.124515733022936	-0.207212607051405	G1
C201	-0.125565444870574	-0.114095721406904	G1
C202	-0.146679942936672	-0.225145917538628	G1
C203	-0.102484811285934	-0.176296048025473	G1
C204	-0.0632074482859781	-0.255185967218819	G1
C205	-0.145465716354223	-0.181937712375354	G1
C206	-0.116857940719076	-0.165532181757743	G1
C207	-0.105454478684454	-0.176690267886728	G1
C208	-0.104755944771809	-0.196717328646035	G1
C209	-0.0986250323319018	-0.248416886893241	G1
C210	-0.127112287217722	-0.199599041320579	G1
C211	-0.157732801042063	-0.234324745709297	G1
C212	0.00529035823985063	-0.190100734304208	S
C213	-0.00809237997584897	0.331953395937075	G2M
C214	0.351900961280972	0.279087742181582	S
C215	-0.104566982024193	-0.200975573377159	G1
C216	-0.144903772552775	-0.217612770901675	G1
C217	-0.162644983691752	-0.218072517382294	G1
C218	-0.124430720121311	-0.268876867351733	G1
C219	-0.124938192522355	-0.181648738485031	G1
C220	-0.0957602363401891	-0.183781016934063	G1
C221	-0.1422385816611	-0.226603464334998	G1
C222	-0.0614088990941909	0.629044276060679	G2M
C223	-0.112060253269163	-0.193844886102261	G1
C224	-0.137427999529204	-0.197083078078997	G1
C225	-0.151565510908262	-0.221828649819315	G1
C226	-0.0934057942661805	-0.215255686464028	G1
C227	-0.108358099137066	-0.188677814028995	G1
C228	-0.112197132860846	-0.222459526321583	G1
C229	0.0574115966445354	0.341290714614129	G2M
C230	-0.17257687583677	-0.201150888233141	G1
C231	-0.0429487176088573	0.166653201651568	G2M
C232	0.0230339377843004	-0.121523570289498	S
C233	-0.0238757231026066	0.434506072828665	G2M
C234	-0.098969697154819	-0.0928838826230872	G1
C235	-0.077240756366092	0.56634712089215	G2M
C236	-0.154168289319842	-0.116466978553723	G1
C237	-0.108410412915762	-0.221406343406685	G1
C238	-0.0705364181957916	-0.147583442127173	G1
C239	-0.0265227118234478	0.35195668118093	G2M
C240	-0.0753375559587851	-0.198845549097068	G1
C241	-0.0318203178023154	-0.251512549711704	G1
C242	0.0640795583252359	0.329855127713014	G2M
C243	0.152071669415659	0.0621554076401831	S
C244	-0.159721053599403	-0.00565293103712461	G1
C245	0.0943882946122238	-0.190216032243665	S
C246	-0.1607127880772	-0.204641425180263	G1
C247	-0.088207200361162	-0.224336123936354	G1
C248	0.0739513939523478	-0.228701480595541	S
C249	0.0199835015172948	0.398469934651412	G2M
C250	-0.135837342585112	-0.188893779896977	G1
C251	0.00854352044827122	0.515159925930309	G2M
C252	-0.136702883567751	-0.237793799062995	G1
C253	-0.117219609171922	-0.235436081264313	G1
C254	-0.11881793617932	-0.167678895875991	G1
C255	-0.134186448693392	-0.203194507854824	G1
C256	0.209648057698267	0.176390471647553	S
C257	-0.116612498336918	-0.207723625847746	G1
C258	-0.0720153969279765	-0.199143456864761	G1
C259	-0.11120840069301	-0.170015038049374	G1
C260	-0.132153590086838	-0.247168224686688	G1
C261	-0.0799395347422857	-0.275431957200065	G1
C262	-0.0561494241650419	-0.0993742421562182	G1
C263	-0.0763339319762813	-0.239044577638905	G1
C264	-0.0820993911420924	-0.125967733863164	G1
C265	0.216681754242987	0.182333991259714	S
C266	-0.108763472056723	-0.142077733479201	G1
C267	-0.126257665609795	-0.224467393420173	G1
C268	0.295078222404933	0.172070502073321	S
C269	-0.075895739153258	-0.214661617978396	G1
C270	-0.0650171250835098	-0.161011121222469	G1
C271	-0.0797286771606683	-0.194988944272694	G1
C272	0.0886895897180784	0.288142698275013	G2M
C273	-0.126370655098902	-0.196317396788599	G1
C274	-0.0704692660763422	-0.193404329773304	G1
C275	0.200033082549635	0.169284021673266	S
C276	0.0560799737284394	0.566411885770262	G2M
C277	-0.0521745036734091	-0.194770946626929	G1
C278	0.143216340890134	0.30984745651292	G2M
C279	0.0028008743494928	0.401786519392139	G2M
C280	-0.107972688860204	-0.216918547673257	G1
C281	-0.116091518382035	-0.181906210444932	G1
C282	-0.14392267661759	-0.229483371465241	G1
C283	-0.0677583001778643	-0.20728339340625	G1
C284	-0.155393376663304	-0.230880246664009	G1
C285	-0.15549909528772	-0.20663356223236	G1
C286	-0.098098332683635	-0.155962690460834	G1
C287	-0.0728850348980007	-0.192938962030374	G1
C288	0.231387630759468	-0.125018766481816	S
C289	-0.079223562738818	-0.254708709348223	G1
C290	-0.00922747332041149	0.348342868866433	G2M
C291	-0.125539016862309	-0.19723496826837	G1
C292	-0.0861416525670787	-0.243473684192065	G1
C293	-0.151070927512739	-0.19274653976072	G1
C294	-0.145440167642331	-0.257708108709358	G1
C295	-0.0707220523547844	-0.209895321273302	G1
C296	-0.11302923119228	-0.210166702450904	G1
C297	-0.107981540396058	-0.1952876174953	G1
C298	-0.0852558040673564	-0.190390691700159	G1
C299	0.0275546780038466	0.485639178700878	G2M
C300	-0.067509973823944	-0.12023046829689	G1
C301	-0.0843723877004365	-0.161032819650707	G1
C302	-0.109239066034891	-0.209530601950837	G1
C303	-0.0763383223478973	-0.208283599586624	G1
C304	-0.0823883370331881	-0.178940681678769	G1
C305	-0.0683551658518862	0.133495916010332	G2M
C306	-0.0104050994103227	-0.160066755263622	G1
C307	0.265824037781178	0.135778824040291	S
C308	-0.0667918309437718	-0.144352007093373	G1
C309	0.253651482686696	-0.118446850172632	S
C310	0.19454256277972	-0.0865033377001247	S
C311	-0.090674187215933	-0.205361556715303	G1
C312	-0.118104936719829	-0.213357399910822	G1
C313	-0.141015334805936	-0.218494963336452	G1
C314	-0.102350718892274	-0.165150042107785	G1
C315	-0.100159588074313	-0.159636075472563	G1
C316	-0.107943917584653	-0.176463839757279	G1
C317	-0.0746044509126425	-0.142279171743001	G1
C318	-0.0314503533575343	0.452477657959252	G2M
C319	0.125004241529046	-0.106398689495278	S
C320	-0.138298249277029	-0.241622728563567	G1
C321	0.133743485869766	-0.0579884614060766	S
C322	-0.110097590105822	-0.188149318038266	G1
C323	-0.0203491019450265	0.416364363892843	G2M
C324	0.0387990522204004	0.0518493084146073	G2M
C325	-0.0819158865258786	-0.157971474371078	G1
C326	-0.16469329267906	-0.199432834468309	G1
C327	-0.124895559614449	-0.236324420262724	G1
C328	-0.116978255104062	-0.136582102706052	G1
C329	-0.138635664430862	-0.182250808871942	G1
C330	-0.111845274550038	-0.179876816676849	G1
C331	-0.139954608546525	-0.227534338120644	G1
C332	-0.0987964183514466	-0.129617406688404	G1
C333	-0.198672478475593	-0.195435938861697	G1
C334	-0.121333929362341	-0.192439244599376	G1
C335	-0.116341012157222	-0.144973292052084	G1
C336	-0.0507092227805048	-0.204818641235619	G1
C337	0.201118892951769	0.144553807979003	S
C338	-0.141759844946504	-0.197147765062897	G1
C339	-0.0934092659282501	-0.232942779234962	G1
C340	-0.087060979734341	-0.172037836308233	G1
C341	-0.0944343416682568	-0.173065393128559	G1
C342	-0.127990124732652	-0.201738371426066	G1
C343	-0.137922910840313	-0.211591034353964	G1
C344	0.175112731469458	-0.124968834191279	S
C345	-0.0617245408979191	0.361390301255553	G2M
C346	0.294140750265565	-0.0219188376077205	S
C347	0.101157105756145	-0.0917278957283685	S
C348	0.0400394126623827	0.372797906773381	G2M
C349	0.226407786807062	0.0479112099457139	S
C350	0.144525871771045	0.034668976885612	S
C351	-0.108613595413165	-0.175597942959096	G1
C352	0.114850862772347	-0.115305224168976	S
C353	-0.0167610341850566	-0.167581164031972	G1
C354	0.0692403424898223	0.394493398531505	G2M
C355	-0.131817310089058	-0.169272954532595	G1
C356	-0.0876325100869213	-0.175961322367782	G1
C357	-0.129547419887255	-0.242564491908964	G1
C358	-0.1149559457786	-0.213002482853133	G1
C359	-0.0808766375643159	-0.158126085147313	G1
C360	-0.0727653174611667	-0.238025573592581	G1
C361	0.0813341782235793	0.0784662647860287	S
C362	-0.108804387082045	-0.204301926730542	G1
C363	-0.153187838563398	-0.181442398030653	G1
C364	-0.122768853335074	-0.196310441624525	G1
C365	0.203569950457503	0.197727012195187	S
C366	0.292807570773725	0.0328899606010999	S
C367	-0.10949668077838	0.00752642551596761	G2M
C368	-0.0474845795644971	-0.177725400429858	G1
C369	-0.108336623352195	-0.232032047375292	G1
C370	-0.116285463998947	-0.258329140457692	G1
C371	-0.0883405014986379	0.267843123722355	G2M
C372	-0.124517975773184	-0.250626441769743	G1
C373	0.510406308263694	0.209851393400715	S
C374	-0.155928901828811	-0.201777409490605	G1
C375	-0.133364064074731	-0.146134535074198	G1
C376	-0.141907628137581	-0.229904916705843	G1
C377	0.0276872199980115	-0.0336198451012143	S
C378	-0.131788642702114	-0.205109471272888	G1
C379	-0.11060193250619	-0.22081796551256	G1
C380	-0.119562614957839	-0.213315896858076	G1
C381	-0.102532750791412	-0.177998266546098	G1
C382	-0.097467007559951	-0.163480668566463	G1
C383	0.0668385012700518	-0.14585416488966	S
C384	-0.0980827638715543	-0.213673620560693	G1
C385	-0.165438546451199	-0.22672609706286	G1
C386	0.261067176595237	0.317065671106149	G2M
C387	0.367751157724946	-0.0342937191867407	S
C388	-0.13516275480122	-0.171743105866954	G1
C389	-0.074144883803667	-0.165572091809204	G1
C390	-0.137989743970198	0.26628596890349	G2M
C391	-0.118764587614934	-0.210223095500853	G1
C392	0.158784632256803	0.0905528292059725	S
C393	-0.055508723700354	-0.187406235237909	G1
C394	-0.133132346918224	-0.245788845050214	G1
C395	-0.116273285700091	-0.221998997803253	G1
C396	0.0683895830697476	0.529781873104222	G2M
C397	-0.0863961254173025	-0.192380125850864	G1
C398	-0.122198322364826	-0.230784188487659	G1
C399	-0.117107626516901	-0.1691255948934	G1
C400	-0.0186508188922818	-0.193790497899745	G1
C401	-0.108756654094971	-0.195465727793792	G1
C402	0.227483195365491	0.225788175172697	S
C403	-0.180783559199105	-0.202330809910871	G1
C404	-0.139428747878181	-0.232620825086147	G1
C405	0.0951872110364913	0.0646104993624087	S
C406	-0.13207057235517	-0.168605944257372	G1
C407	0.29173813114385	-0.0613340979925405	S
C408	-0.129477194654477	-0.202571126323195	G1
C409	-0.105698039799434	-0.134172462710537	G1
C410	0.135165320762385	-0.0454258459748375	S
C411	0.211268762605014	0.0728216763016578	S
C412	0.133385751429618	-0.158200255964138	S
C413	-0.165075097621076	-0.232019664603725	G1
C414	0.264606758867866	0.155777500020105	S
C415	-0.137687385854816	-0.217438299491717	G1
C416	0.105380622665181	0.118856242316282	G2M
C417	-0.085572075060738	-0.152696496119235	G1
C418	-0.116820313331738	-0.201768161761227	G1
C419	-0.0374828164751173	-0.232892341340023	G1
C420	-0.118540550372457	-0.174126332845967	G1
C421	-0.0896599813636105	-0.134046581612275	G1
C422	-0.0861041331541146	-0.180085769369032	G1
C423	-0.138062658128404	-0.239585672429196	G1
C424	-0.0573867555170753	-0.190261898010921	G1
C425	-0.146141907079446	-0.229035927803885	G1
C426	-0.0447994225937783	-0.196191642991787	G1
C427	-0.124391432261523	-0.202653709401435	G1
C428	0.258067365869364	0.147589139806155	S
C429	-0.0698306396454429	-0.0565654409967952	G1
C430	-0.165608566319216	-0.236822820519942	G1
C431	-0.181730947100064	-0.159181968899517	G1
C432	0.291915221439218	0.204284707842595	S
C433	0.121966602649322	0.230433781665604	G2M
C434	-0.122388686919682	-0.192025908135048	G1
C435	-0.10073743336487	-0.157253145038933	G1
C436	-0.147855086154987	-0.221490753434052	G1
C437	-0.0814346958285953	-0.158635728373118	G1
C438	-0.131033580633075	-0.173019077855205	G1
C439	-0.117967483999954	-0.256068792591102	G1
C440	-0.136017276516853	-0.179390157123398	G1
C441	-0.0921187464238412	-0.200209507810946	G1
C442	0.121580647111451	0.430777510628527	G2M
C443	-0.159663735789582	-0.216360803041964	G1
C444	-0.14622313383896	-0.173679073225737	G1
C445	-0.14201964236888	-0.220499975148229	G1
C446	0.0596975110545722	0.088480026116961	G2M
C447	0.00281505103893709	0.33178750123643	G2M
C448	0.260648622895589	-0.0373441755673266	S
C449	0.00743343612202413	0.256729782346248	G2M
C450	-0.0101549200618603	-0.173044581722337	G1
C451	-0.125475865193455	-0.218859816171969	G1
C452	0.236388721257635	0.0277446289819984	S
C453	-0.0999256863942423	-0.15818720167251	G1
C454	-0.104008305935657	-0.171720394101338	G1
C455	-0.0606588352587632	-0.220317799039505	G1
C456	0.11776891285252	0.174261916312191	G2M
C457	-0.116696776127546	-0.252513666235368	G1
C458	-0.0830456461755113	-0.169793848019342	G1
C459	-0.0807124099156918	0.601365073105832	G2M
C460	-0.0708946916317818	-0.236650233407963	G1
C461	-0.0734756095944245	-0.150117299739792	G1
C462	-0.067696220060628	-0.192475893164352	G1
C463	-0.107900847468528	-0.201806389053646	G1
C464	-0.109171868908378	-0.173797898520796	G1
C465	0.128622489146374	0.113989928248715	S
C466	-0.124056882027043	-0.165328318537999	G1
C467	-0.105610497016674	-0.16846679737586	G1
C468	-0.106901857164012	-0.157254402053422	G1
C469	-0.169438578070343	-0.239434669654419	G1
C470	-0.144846991187921	-0.247249847159121	G1
C471	0.0603205431662037	0.40255379710533	G2M
C472	-0.0648641250266857	-0.155354218641776	G1
C473	-0.0970309419673826	-0.0337622374785166	G1
C474	-0.0224459317672849	-0.206298997140688	G1
C475	-0.119102316946152	-0.216313870777057	G1
C476	-0.135906030595978	-0.219359927649927	G1
C477	-0.146806335718722	-0.196397608488824	G1
C478	-0.085800839417122	-0.235281833164901	G1
C479	0.0440290419503122	-0.173554785121135	S
C480	-0.0313247966623018	-0.00207911660765564	G1
C481	-0.00885401046645914	-0.166841874581095	G1
