S.Score	G2M.Score	Phase
C115	-0.110600377086541	-0.245267625392983	G1
C116	-0.11999773469379	-0.178710730674029	G1
C117	-0.158284213792256	-0.224485588636788	G1
C118	-0.143950813293893	-0.20282107088414	G1
C119	-0.0715781984122286	-0.220265497332454	G1
C120	-0.0223546116107635	-0.194791977567418	G1
C121	-0.118524680949011	-0.179103765822619	G1
C122	-0.107587679610158	-0.157972933182962	G1
C123	-0.0518476435935431	-0.211058738758109	G1
C124	0.243889487886696	0.139845295966464	S
C125	-0.201729159552711	-0.217124737809838	G1
C126	0.0148670193211932	-0.137447014420287	S
C127	0.0110714748780066	0.311588460297746	G2M
C128	0.166541945333103	-0.117065315359636	S
C129	-0.0777640442231001	-0.192962385035068	G1
C130	-0.10341210878851	-0.228566481362944	G1
C131	0.326703554082106	0.215978212392295	S
C132	-0.125082401680087	-0.187611746201843	G1
C133	-0.200646883181813	-0.280508555640455	G1
C134	0.00262939907107207	0.160245110107535	G2M
C135	-0.136502873245255	-0.250139002317897	G1
C136	-0.116239304977564	-0.169779565136941	G1
C137	-0.0820527693086922	-0.196703397256585	G1
C138	-0.124066163295088	-0.226349639809668	G1
C139	-0.0410346613194598	-0.120991044467514	G1
C140	-0.126714934078502	-0.102988984263446	G1
C141	0.181518789710383	-0.151584036106787	S
C142	-0.107914093196837	-0.13228615536381	G1
C143	-0.0797298009812378	-0.190335989765095	G1
C144	-0.118572237130438	-0.216700031682846	G1
C145	-0.134834482277405	-0.252203904819994	G1
C146	0.214443738166834	0.243512384627563	G2M
C147	-0.0833580111977732	-0.208418013632205	G1
C148	-0.0746182274409313	-0.208463729420896	G1
C149	-0.141214201174499	-0.181596959654656	G1
C150	-0.1431675993533	-0.152046862758901	G1
C151	-0.154726235757514	-0.232306387032658	G1
C152	-0.0675213348739483	-0.162975721447412	G1
C153	-0.0181849274066446	0.359237005225059	G2M
C154	0.0523970394563174	0.434080783737286	G2M
C155	0.0217723726095413	0.0087803720996123	S
C156	-0.0992102878265192	-0.194598351185685	G1
C157	0.284840490522774	0.0957608425363068	S
C158	-0.0227130040157985	-0.248847304103931	G1
C159	0.370373307291161	0.124599641832278	S
C160	0.0628447421055801	-0.0785835508962831	S
C161	0.303865942612931	0.0962128400594157	S
C162	-0.104061241679534	-0.207824598177591	G1
C163	-0.127855581104203	-0.222735602423163	G1
C164	-0.0396678098507613	-0.227583205003562	G1
C165	-0.0786114686373088	-0.193822199032889	G1
C166	-0.0966957453763751	-0.200890333740092	G1
C167	-0.106802847391916	-0.226629224213451	G1
C168	0.0146075165355228	0.0792188296867664	G2M
C169	-0.0563177896972102	-0.170038913729709	G1
C170	-0.106951524510263	-0.152840715718101	G1
C171	-0.112314590556204	-0.279564496782533	G1
C172	-0.0274510711299658	-0.158168815801069	G1
C173	0.206365917788401	0.0440625697472958	S
C174	-0.0569724850671924	-0.152079061575701	G1
C175	0.234197446028312	0.125964305078643	S
C176	0.129005606318318	0.11434061738316	S
C177	-0.0882571253509965	-0.237445218670811	G1
C178	0.0570054295281634	-0.0340371127012074	S
C179	0.0338744155511562	0.252147827095061	G2M
C180	0.259718270314514	-0.209671024086945	S
C181	0.170894165274662	-0.0234202692105676	S
C182	0.0510567749889333	0.2604109762547	G2M
C183	-0.114352141142376	-0.258726930150776	G1
C184	0.348632698707979	-0.00647204660274708	S
C185	0.133336714208464	-0.113511674142684	S
C186	0.166276239171984	0.285673058488545	G2M
C187	0.0258526862335434	-0.179100950956012	S
C188	-0.0871019639659655	-0.152745982857161	G1
C189	-0.0296697352981903	-0.0752054689935754	G1
C190	0.138064808534587	0.196371232249116	G2M
C191	-0.0557747417239199	-0.116996188816278	G1
C192	-0.139678531293407	-0.185054015238218	G1
C193	-0.0683603743322773	-0.152159256611107	G1
C194	-0.125231252603967	-0.205372886090494	G1
C195	0.16601591615187	-0.157855118519142	S
C196	0.047817262611394	0.299700442187807	G2M
C197	0.0726356948188245	-0.219349259131442	S
C198	-0.107247632582624	-0.230900646422247	G1
C199	-0.0794538029557525	-0.12366393938703	G1
C200	-0.111447011848961	-0.208384355800923	G1
C201	-0.146922599019508	-0.188015763131272	G1
C202	-0.158574075612542	-0.207304868719636	G1
