Gene	GM12878	GM18502

ABL1	3889.23503780582	6977.10190311383

ABL2	811.640282349961	1781.97297349706

ABLIM1	1352.06619797058	4100.32995928618

ABLIM2	58.0949017431715	86.6733563710218

ABLIM3	30.5761548058209	118.376061807729

ABO	105.97629659443	58.8293427824796

ABR	5645.24971248485	3084.07192237793

ABRA	9.20956015177762	1.19707501445716

ABRACL	3072.7871132742	4585.30789811332

ABRAXAS1	454.753634099778	1031.74749578652

ABRAXAS2	1109.18610546112	909.829737079987

ABT1	1758.59514952192	1716.90706430058

ABT1P1	0	2.40292555681007

ABTB1	410.440697019519	463.786257167885

ABTB2	782.749641303978	917.542082962197

AC000041.1	615.862326847686	232.034267477457

AC000077.1	0	1.79513492160478

